customer_unique_id,M_total,group_label
02c88975fab003e3b48958d6c5b2ad1b,132.63,B_对照组
02cd1e304ed649e723e88c4ef3483397,54.00,B_对照组
02d01e34105848c4f70c643817d8b904,76.65,B_对照组
02d5d0f30aa35ca5ea686bb9bec25b59,81.91,B_对照组
02d8301419d25947683ed2537556d0d3,105.07,B_对照组
02e42ba4354c5aea7a08fc75d9f41b5f,150.69,B_对照组
02f1bf7b0a3e8e4f916c2584908314e7,78.38,B_对照组
02f2809daffe06aab984d4e8b44955a9,44.00,B_对照组
02f9070c2ed9e6fc09b8a6723318ce9b,259.46,B_对照组
0306e708bc20c7e3517227bbffbe5959,200.04,B_对照组
030839efe59a33d905f07a893f4aef8a,76.37,B_对照组
030a810edeec1ceea314282513023587,2794.50,B_对照组
030fbdd408131cb4235b5b7f241d727e,67.62,B_对照组
03123d7e0e62ae71737f4ceafe399495,84.14,B_对照组
0313e1d33a88fd765653f4464a387aa7,35.00,B_对照组
03182d685cfcca0c3eff28a79d40f037,49.42,B_对照组
031b6bf06cc2c9391a8a403cef221a1a,794.18,B_对照组
031cbf8ecc3bd65cafc7061d111f3613,46.09,B_对照组
03205e5760c7d0d27d4f8a4d05b31df4,64.10,B_对照组
03219f704113c9e40797774e4ddb532d,84.45,B_对照组
032e4efa58936187018b68818b0f49c4,84.03,B_对照组
0333c10ff91a9c1aabc1d76f6ef19bcd,49.23,B_对照组
033583cf146c168c81773231723a1b2a,57.68,B_对照组
0336355ea1caa4b3fc672b70fdf9ef3f,70.72,B_对照组
0339d63f73ee6160ed3a7a6534ee2efe,417.00,B_对照组
033ef844790de4ae0aa7dfdef85a5d2f,62.67,B_对照组
033f54a07cd8182310db72b60acdbcd7,106.38,B_对照组
033f95a250538be18d7285d28b40ba4d,135.61,B_对照组
0347fa27107156cbe6f9673afa7da45b,65.95,B_对照组
0349c4f5811eb0c1f2a56f459cbd962f,114.35,B_对照组
034b3849378ccec7dded6218ea95778d,100.86,B_对照组
034cd8fe25a4127c957dcc3c559865e1,93.92,B_对照组
035d56643d91dc2de8b9372d07f10df1,88.07,B_对照组
03608653642e4fea136e39e9382d74f2,72.05,B_对照组
0362cd11581b91270ed0b9a1028b34e5,44.95,B_对照组
0376362c3d6ae393dcca0d66c17a202f,117.26,B_对照组
0379a6f96d9befaf749609ba52b17783,448.05,B_对照组
037ebbb3507dc1717f22ee973771c9d8,298.79,B_对照组
03863e6df8bceaf5ca8f00217eed7975,116.24,B_对照组
03872faea1fac00ae8da6e805bcb73e7,38.09,B_对照组
038bca7a689852f4c986663f533593ed,33.42,B_对照组
0390ca8fbd1fcf29c61892ceb9fe45db,106.97,B_对照组
039a597bb045646b899477a8480bdd93,45.96,B_对照组
039dbe7ecc24f88273182692f51ea405,33.09,B_对照组
03a4afe75c961114945607707b9f3b88,124.42,B_对照组
03a9caea366a84e3e6015a26f097c83a,75.07,B_对照组
03b27a1d3cc8dc5a00cc993e05c71d07,55.84,B_对照组
03b78c65c104820b87c6ef46f154dc50,77.66,B_对照组
03b8925633623755895d17fd3e0c3ed1,109.50,B_对照组
03d01a4b09e221a1bb37343eb990dbda,38.01,B_对照组
03d5b8b586864eecec7018eaca5fd647,72.14,B_对照组
03d7f509533270423718902aef9d1ede,554.40,A_目标组
03e2fdfa85910de2abe170f7943eb621,34.01,B_对照组
03f36811ed7689b1b01f4ebb1dd4f145,99.43,B_对照组
03f55e00670ae82dab663c6706b5283a,109.93,B_对照组
03f57ac1bec6632e9d997677c133487c,104.73,B_对照组
03f8cc5eb864ffa50cb73bdf07a7b1e9,471.00,B_对照组
03fd10e90cd2b48f120d69c45ae42c64,146.66,B_对照组
040fc99e1848165b5b3dc5881a144090,80.12,B_对照组
041132794a19cd483918f5e665d6445a,108.21,B_对照组
04120e49b42d9188cee40d96521d9893,84.99,B_对照组
0413088a3122f7d9f8b064a7cd57f5e8,662.85,B_对照组
041397b7bed1e0b64cc8df9e4a761873,177.44,B_对照组
0417c5c4535764e979a11b19edfef588,62.51,B_对照组
0424daa71596f2bc340f965a82393205,86.74,B_对照组
042d637a881d8d51666a58d0c53cd57a,125.42,B_对照组
042d75d0b730ce22c08efe5ba71b1664,106.38,B_对照组
0436a3bc8327867df10aea0ee8cf8790,34.23,B_对照组
04373f7c105c306e9bdae55e5c70163c,133.75,B_对照组
043aac2fb4895fee3be40a7ddbd28577,147.38,B_对照组
04511e9cedc8f0124c2a207801fd5474,117.94,B_对照组
0451ef5a31cea3e14ce02d768d7c9943,387.39,B_对照组
0457229263e71157bd7cf568a56d5ec3,55.04,B_对照组
04601940a8e4d9e3290ed0b82f3e318e,29.85,B_对照组
04701c6d028551e35b43d6a2b181411e,150.14,B_对照组
0470ebb9e656c572e40382c5e64b82df,106.29,B_对照组
04797864da463ad3509a27b58337a009,190.75,B_对照组
047c439e6c563abb6ab4b9ff18298d55,53.84,B_对照组
0480fb293e9b6ecd62e3696ef83dcf96,1241.19,A_目标组
0488f8e76b2ddeff4d52caa56df477ff,93.31,B_对照组
048944643823b6e95b24c1e04e86275a,161.37,B_对照组
0489eb155166019d60e13ca2b0f76895,100.30,B_对照组
0489f338b80bcaa08f7a66b87cb16145,342.02,B_对照组
049aed9afdafa108602fe27e43455f56,69.65,B_对照组
049bbdf2bfe5ec506d815c4b4c67695e,131.34,B_对照组
04a24732681955f5daf4c435f5025743,115.89,B_对照组
04a324a336173e546dab5835e0b287bc,68.63,B_对照组
04a5a9b154c83e4b19258dcd0e4476ed,30.68,B_对照组
04aaf081f15fb8dd128dc6dfd51f67e4,86.15,B_对照组
04aecdfee31650af897348b7e92ad336,67.73,B_对照组
04b08ed14e6fd1812c21314c07512758,82.92,B_对照组
04b2af3c93e41c92d3bec7434f261be0,133.75,B_对照组
04b3b974dfe285ac9f2eb96a6a9cbb9c,504.30,B_对照组
04b79f3df1e09f5a156db966f2edc852,77.84,B_对照组
04b9a14c0f0e107453338b7d85ea15e0,65.05,B_对照组
04ba08bda026040bab8bd9895eed89ad,75.39,B_对照组
04badcbeea122a16bcab6bd3d47bf166,94.40,B_对照组
04c55667b44fae5f50ed71d40c633d09,34.75,B_对照组
04c5e6911ae15e4dfb5606026781c908,156.64,B_对照组
04d3c2795b83634312bf3f86f41f7901,596.39,A_目标组
04d929d2e9cab47785a03ab681dfc62b,116.94,B_对照组
04e5504bb1f294ad6f6c7f5157a24eb0,246.36,B_对照组
04effeb71dfa28a5096368addc3994be,172.52,B_对照组
04f1fd1b75385fd1c7b6de018e0c4ab3,804.33,B_对照组
04f2cde30a861be2cec2c5cd964492e7,203.06,B_对照组
04f7d4238d8613bc745b73af1fcae6e3,136.23,B_对照组
04fb0069cb810108ed61f955f88da9df,105.83,B_对照组
0505ce8a161975b0e8e7c16530c56015,42.87,B_对照组
05105abc98016eb044d450d5e60de1b2,65.17,B_对照组
051728482e7cf26b974f874001d4cc65,310.65,B_对照组
051cb410e248720e71b4ef51ff5044db,60.46,B_对照组
0528aa1ee576b1eb9edf5604789d316c,230.25,B_对照组
052ecc20fc75531a24365017cccf4b44,975.44,B_对照组
052ee9dccb43ae9d47e3181d468f73e8,113.18,B_对照组
053ecb96d108806e8119d8738e4e13ab,39.09,B_对照组
0545ab6349de18e6a015b68c6eb2a377,107.05,B_对照组
0550075d442dc3ba0369e9e034795a7e,185.55,B_对照组
05522a7d5a42ae78340a87272c48621a,122.17,B_对照组
055a6d8515c1b5dbc065a03770ae504b,17.78,B_对照组
055e3d2a2a5a60055ea33e135227bf99,186.79,B_对照组
05608ec24b6e52507bbe54dc921d3b62,45.11,B_对照组
0567f279c243671842613f581ed3462c,99.43,B_对照组
056cffe73833ae2aa1fe2e9a6c21dc62,165.12,B_对照组
056fc7649dca9b36f1b2171d6176a2da,144.05,B_对照组
0570089e1e1b3cf57b7f7d545cb204aa,121.09,B_对照组
05701e8cd8fe331cc9b4262af27d7ee3,72.71,B_对照组
057312c2a559d92cdc191e1a225e885d,38.00,B_对照组
0573d0e58acad0252c134f6f8b5e20ec,164.31,B_对照组
